"sampleID","patient","type","A2ML1"
"TCGA-62-A470-01A","TCGA-62-A470","tumor",1.2315
"TCGA-62-A471-01A","TCGA-62-A471","tumor",1.023
"TCGA-62-A472-01A","TCGA-62-A472","tumor",5.7915
"TCGA-64-1676-01A","TCGA-64-1676","tumor",0
"TCGA-64-1677-01A","TCGA-64-1677","tumor",4.3764
"TCGA-64-1678-01A","TCGA-64-1678","tumor",0.9365
"TCGA-64-1679-01A","TCGA-64-1679","tumor",3.4823
"TCGA-64-1680-01A","TCGA-64-1680","tumor",0
"TCGA-64-1681-01A","TCGA-64-1681","tumor",1.0843
"TCGA-64-5774-01A","TCGA-64-5774","tumor",0
"TCGA-64-5775-01A","TCGA-64-5775","tumor",0.9282
"TCGA-64-5778-01A","TCGA-64-5778","tumor",0.5189
"TCGA-64-5779-01A","TCGA-64-5779","tumor",0.8183
"TCGA-64-5781-01A","TCGA-64-5781","tumor",3.2154
"TCGA-64-5815-01A","TCGA-64-5815","tumor",6.2844
"TCGA-67-3770-01A","TCGA-67-3770","tumor",0
"TCGA-67-3771-01A","TCGA-67-3771","tumor",4.5603
"TCGA-67-3772-01A","TCGA-67-3772","tumor",0
"TCGA-67-3773-01A","TCGA-67-3773","tumor",0
"TCGA-67-3774-01A","TCGA-67-3774","tumor",2.5547
"TCGA-67-6215-01A","TCGA-67-6215","tumor",2.9794
"TCGA-67-6216-01A","TCGA-67-6216","tumor",17.6809
"TCGA-67-6217-01A","TCGA-67-6217","tumor",0
"TCGA-69-7760-01A","TCGA-69-7760","tumor",0
"TCGA-69-7761-01A","TCGA-69-7761","tumor",0
"TCGA-69-7763-01A","TCGA-69-7763","tumor",3.5466
"TCGA-69-7764-01A","TCGA-69-7764","tumor",0
"TCGA-69-7765-01A","TCGA-69-7765","tumor",0
"TCGA-69-7973-01A","TCGA-69-7973","tumor",0.516
"TCGA-69-7974-01A","TCGA-69-7974","tumor",0.5878
"TCGA-69-7978-01A","TCGA-69-7978","tumor",0
"TCGA-69-7979-01A","TCGA-69-7979","tumor",0
"TCGA-69-7980-01A","TCGA-69-7980","tumor",4.2869
"TCGA-69-8253-01A","TCGA-69-8253","tumor",4.8571
"TCGA-69-8254-01A","TCGA-69-8254","tumor",4.6755
"TCGA-69-8255-01A","TCGA-69-8255","tumor",1.1096
"TCGA-69-8453-01A","TCGA-69-8453","tumor",5.848
"TCGA-69-A59K-01A","TCGA-69-A59K","tumor",0.615
"TCGA-71-6725-01A","TCGA-71-6725","tumor",0
"TCGA-71-8520-01A","TCGA-71-8520","tumor",0
"TCGA-73-4658-01A","TCGA-73-4658","tumor",0.5754
"TCGA-73-4659-01A","TCGA-73-4659","tumor",3.1646
"TCGA-73-4662-01A","TCGA-73-4662","tumor",0.9377
"TCGA-73-4666-01A","TCGA-73-4666","tumor",1.5091
"TCGA-73-4668-01A","TCGA-73-4668","tumor",0
"TCGA-73-4670-01A","TCGA-73-4670","tumor",3.8267
"TCGA-73-4675-01A","TCGA-73-4675","tumor",4.3371
"TCGA-73-4676-01A","TCGA-73-4676","tumor",3.1662
"TCGA-73-4677-01A","TCGA-73-4677","tumor",1.1565
"TCGA-73-7498-01A","TCGA-73-7498","tumor",0.2726
"TCGA-73-7499-01A","TCGA-73-7499","tumor",1.4324
"TCGA-73-A9RS-01A","TCGA-73-A9RS","tumor",0
"TCGA-75-5122-01A","TCGA-75-5122","tumor",0
"TCGA-75-5125-01A","TCGA-75-5125","tumor",0
"TCGA-75-5126-01A","TCGA-75-5126","tumor",0
"TCGA-75-5146-01A","TCGA-75-5146","tumor",2.8349
"TCGA-75-5147-01A","TCGA-75-5147","tumor",6.1929
"TCGA-75-6203-01A","TCGA-75-6203","tumor",2.751
"TCGA-75-6205-01A","TCGA-75-6205","tumor",0
"TCGA-75-6206-01A","TCGA-75-6206","tumor",0
"TCGA-75-6207-01A","TCGA-75-6207","tumor",0
"TCGA-75-6211-01A","TCGA-75-6211","tumor",0
"TCGA-75-6212-01A","TCGA-75-6212","tumor",4.6767
"TCGA-75-6214-01A","TCGA-75-6214","tumor",255.1059
"TCGA-75-7025-01A","TCGA-75-7025","tumor",0.3782
"TCGA-75-7027-01A","TCGA-75-7027","tumor",0
"TCGA-75-7030-01A","TCGA-75-7030","tumor",2.0833
"TCGA-75-7031-01A","TCGA-75-7031","tumor",1.0753
"TCGA-78-7143-01A","TCGA-78-7143","tumor",15.8349
"TCGA-78-7145-01A","TCGA-78-7145","tumor",0.5819
"TCGA-78-7146-01A","TCGA-78-7146","tumor",46.2687
"TCGA-78-7147-01A","TCGA-78-7147","tumor",0.3912
"TCGA-78-7148-01A","TCGA-78-7148","tumor",10.1037
"TCGA-78-7149-01A","TCGA-78-7149","tumor",2.7571
"TCGA-78-7150-01A","TCGA-78-7150","tumor",38.4395
"TCGA-78-7152-01A","TCGA-78-7152","tumor",15.7846
"TCGA-78-7153-01A","TCGA-78-7153","tumor",0
"TCGA-78-7154-01A","TCGA-78-7154","tumor",714.392
"TCGA-78-7155-01A","TCGA-78-7155","tumor",0
"TCGA-78-7156-01A","TCGA-78-7156","tumor",9.9502
"TCGA-78-7158-01A","TCGA-78-7158","tumor",0
"TCGA-78-7159-01A","TCGA-78-7159","tumor",3.8567
"TCGA-78-7160-01A","TCGA-78-7160","tumor",0.6309
"TCGA-78-7161-01A","TCGA-78-7161","tumor",0.3674
"TCGA-78-7162-01A","TCGA-78-7162","tumor",2.9272
"TCGA-78-7163-01A","TCGA-78-7163","tumor",0
"TCGA-78-7166-01A","TCGA-78-7166","tumor",2.675
"TCGA-78-7167-01A","TCGA-78-7167","tumor",0
"TCGA-78-7220-01A","TCGA-78-7220","tumor",8.7505
"TCGA-78-7535-01A","TCGA-78-7535","tumor",1.0662
"TCGA-78-7536-01A","TCGA-78-7536","tumor",0.5118
"TCGA-78-7537-01A","TCGA-78-7537","tumor",0
"TCGA-78-7539-01A","TCGA-78-7539","tumor",1.1782
"TCGA-78-7540-01A","TCGA-78-7540","tumor",0.3314
"TCGA-78-7542-01A","TCGA-78-7542","tumor",315.9729
"TCGA-78-7633-01A","TCGA-78-7633","tumor",1.4395
"TCGA-78-8640-01A","TCGA-78-8640","tumor",305.7622
"TCGA-78-8648-01A","TCGA-78-8648","tumor",0.7639
"TCGA-78-8655-01A","TCGA-78-8655","tumor",0
"TCGA-78-8660-01A","TCGA-78-8660","tumor",0
"TCGA-78-8662-01A","TCGA-78-8662","tumor",5.9563
"TCGA-80-5607-01A","TCGA-80-5607","tumor",4.0683
"TCGA-80-5608-01A","TCGA-80-5608","tumor",1.0639
"TCGA-80-5611-01A","TCGA-80-5611","tumor",3.3445
"TCGA-83-5908-01A","TCGA-83-5908","tumor",0.3755
"TCGA-86-6562-01A","TCGA-86-6562","tumor",0.536
"TCGA-86-6851-01A","TCGA-86-6851","tumor",1.4241
"TCGA-86-7701-01A","TCGA-86-7701","tumor",2.1075
"TCGA-86-7711-01A","TCGA-86-7711","tumor",0
"TCGA-86-7713-01A","TCGA-86-7713","tumor",7.6955
"TCGA-86-7714-01A","TCGA-86-7714","tumor",0
"TCGA-86-7953-01A","TCGA-86-7953","tumor",37.5212
"TCGA-86-7954-01A","TCGA-86-7954","tumor",0.5352
"TCGA-86-7955-01A","TCGA-86-7955","tumor",0.6025
"TCGA-86-8054-01A","TCGA-86-8054","tumor",0.9991
"TCGA-86-8055-01A","TCGA-86-8055","tumor",3.8577
"TCGA-86-8056-01A","TCGA-86-8056","tumor",8.661
"TCGA-86-8073-01A","TCGA-86-8073","tumor",1.7185
"TCGA-86-8074-01A","TCGA-86-8074","tumor",0.3574
"TCGA-86-8075-01A","TCGA-86-8075","tumor",17.9974
"TCGA-86-8076-01A","TCGA-86-8076","tumor",4.6775
"TCGA-86-8278-01A","TCGA-86-8278","tumor",77.7857
"TCGA-86-8279-01A","TCGA-86-8279","tumor",0
"TCGA-86-8280-01A","TCGA-86-8280","tumor",0.727
"TCGA-86-8281-01A","TCGA-86-8281","tumor",21.5877
"TCGA-86-8358-01A","TCGA-86-8358","tumor",0
"TCGA-86-8359-01A","TCGA-86-8359","tumor",2.4301
"TCGA-86-8585-01A","TCGA-86-8585","tumor",985.917
"TCGA-86-8668-01A","TCGA-86-8668","tumor",0
"TCGA-86-8669-01A","TCGA-86-8669","tumor",0
"TCGA-86-8671-01A","TCGA-86-8671","tumor",0.551
"TCGA-86-8672-01A","TCGA-86-8672","tumor",0
"TCGA-86-8673-01A","TCGA-86-8673","tumor",0.5865
"TCGA-86-8674-01A","TCGA-86-8674","tumor",25.8572
"TCGA-86-A456-01A","TCGA-86-A456","tumor",0.5915
"TCGA-86-A4D0-01A","TCGA-86-A4D0","tumor",0.4653
"TCGA-86-A4JF-01A","TCGA-86-A4JF","tumor",0.8859
"TCGA-86-A4P7-01A","TCGA-86-A4P7","tumor",0
"TCGA-86-A4P8-01A","TCGA-86-A4P8","tumor",0.4558
"TCGA-91-6828-01A","TCGA-91-6828","tumor",0
"TCGA-91-6829-01A","TCGA-91-6829","tumor",2.065
